,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index
2140,1,143,5630000000.0,1,554150.0,46.30,-47.35,3.8,10000+ Employees,1996.0,$10+ billion (USD),3.45,4.4,0,NYSE
2141,1,80,93370000.0,1,11830.0,45.87,471.95,4.7,1 to 50 Employees,1997.0,$5 to $10 million (USD),5.0,5.0,0,NASD
2142,1,85,1260000000.0,0,359000.0,24.40,564.71,4.2,1001 to 5000 Employees,1996.0,$100 to $500 million (USD),0.0,5.0,0,NASD
2143,1,122,31410000000.0,0,3990000.0,44.90,380.10,4.0,501 to 1000 Employees,2010.0,$100 to $500 million (USD),3.9,4.3,0,NYSE
2144,1,125,3350000000.0,0,36140.0,8.40,0.00,3.5,1001 to 5000 Employees,1887.0,$2 to $5 billion (USD),2.95,3.9,0,NYSE
2145,1,122,4510000000.0,0,700210.0,-107.80,93.80,3.9,1001 to 5000 Employees,2008.0,$100 to $500 million (USD),3.55,3.55,0,NYSE
2146,1,8,751410000.0,1,186720.0,200.60,-33.59,3.6,201 to 500 Employees,1998.0,$100 to $500 million (USD),3.15,3.55,0,NASD
2147,1,85,1050000000.0,0,1970000.0,-88.00,89.50,3.1,5001 to 10000 Employees,1996.0,$100 to $500 million (USD),1.95,1.65,0,NYSE
2148,0,89,1160000000.0,1,149310.0,56.40,564.71,4.1,1001 to 5000 Employees,1956.0,$100 to $500 million (USD),4.6,0.0,0,NYSE
2149,1,84,571320000.0,0,3470000.0,45.00,-100.00,1.6,1 to 50 Employees,2010.0,$100 to $500 million (USD),1.0,0.0,0,NASD
2150,1,141,8660000000.0,1,519789.99999999994,-5.40,208.60,3.4,201 to 500 Employees,2014.0,$100 to $500 million (USD),2.2,5.0,0,NASD
2151,1,86,4660000000.0,1,328920.0,-140.10,11.90,3.5,1001 to 5000 Employees,1902.0,$1 to $2 billion (USD),3.45,4.05,0,NYSE
2152,0,77,1470000000.0,0,205200.0,455.87,424.60,4.6,51 to 200 Employees,1996.0,$25 to $50 million (USD),3.85,5.0,0,NYSE
